report_id,canonical_html_path,artifact_path,builder_path,provenance_status,notes
glp1_ai_implementation_blueprint,shared/reports/html/glp1_ai_implementation_blueprint_20260818.html,,,provenance_partial,"无专属artifact或构建脚本；由仓库逐文件来源映射固定哈希"
glp1_ai_design_knowledge_graph,shared/reports/html/glp1_ai_design_knowledge_graph_20260819.html,,,provenance_partial,"无专属artifact或构建脚本；由仓库逐文件来源映射固定哈希"
glp1_project_session_resource_overview,shared/reports/html/glp1_project_session_resource_overview_20260826.html,shared/reports/manifests/glp1_project_session_resource_overview_20260826.artifact.json,shared/tools/one_off/构建项目总览报告_20260826.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
boltzgen_mvp_data_assets,boltzgen/reports/html/boltzgen_mvp_data_assets_20260818.html,boltzgen/reports/manifests/boltzgen_mvp_data_assets_20260818.artifact.json,boltzgen/tools/one_off/report_builders/构建MVP数据资产报告_20260818.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
boltzgen_vhh_glp1_algorithm,boltzgen/reports/html/boltzgen_vhh_glp1_algorithm_20260819.html,boltzgen/reports/manifests/boltzgen_vhh_glp1_algorithm_20260819.artifact.json,boltzgen/tools/one_off/report_builders/构建BoltzGen数据流原理报告_20260819.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
sabdab2_vhh_scaffold_screening,boltzgen/reports/html/sabdab2_vhh_scaffold_screening_20260819.html,boltzgen/reports/manifests/sabdab2_vhh_scaffold_screening_20260819.artifact.json,boltzgen/tools/one_off/report_builders/构建VHH骨架统计报告_20260819.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
boltzgen_nanobody_mps_smoke,boltzgen/reports/html/boltzgen_nanobody_mps_smoke_20260819.html,boltzgen/reports/manifests/boltzgen_nanobody_mps_smoke_20260819.artifact.json,boltzgen/tools/one_off/report_builders/构建MVP运行报告_20260818.py,provenance_complete,"构建脚本文件名日期为最初MVP构建日"
boltzgen_old12_glp1_round1,boltzgen/reports/html/boltzgen_old12_glp1_round1_20260819.html,boltzgen/reports/manifests/boltzgen_old12_glp1_round1_20260819.artifact.json,boltzgen/tools/one_off/report_builders/构建旧12骨架第一轮报告_20260819.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
boltzgen_old12_glp1_mac_enhanced,boltzgen/reports/html/boltzgen_old12_glp1_mac_enhanced_20260820.html,boltzgen/reports/manifests/boltzgen_old12_glp1_mac_enhanced_20260820.artifact.json,boltzgen/tools/one_off/report_builders/构建旧12骨架Mac增强报告_20260820.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
bindcraft_glp1_selectivity_input_audit,bindcraft/reports/html/bindcraft_glp1_selectivity_input_audit_20260826.html,bindcraft/reports/manifests/bindcraft_glp1_selectivity_input_audit_20260826.artifact.json,bindcraft/tools/one_off/构建BindCraft输入审计报告_20260826.py,provenance_complete,"artifact和一次性构建脚本均在仓库"
