resource_id,route,purpose,asset_class,local_workspace_path,source_name,source_uri,source_revision,created_at,format,record_count,file_count,size_bytes,sha256,sha256_manifest,license,git_policy,repository_path,validation_status,limitations
bg_runtime_v032,boltzgen,BoltzGen v0.3.2 推理权重与化学组分字典,model_runtime,boltzgen/data/boltzgen_v0_3_2_runtime_and_mvp_inputs_20260819/runtime_cache,BoltzGen release assets,https://huggingface.co/boltzgen/boltzgen-1/tree/c1be29e1f82ffcc72264f64b993c43fb4e0d17f0,c1be29e1f82ffcc72264f64b993c43fb4e0d17f0,2026-08-19T02:09:33+08:00,Lightning checkpoint + ZIP,5 runtime assets,7,6352948608,,workspace://boltzgen/data/boltzgen_v0_3_2_runtime_and_mvp_inputs_20260819/runtime_cache/runtime_manifest.json,MIT per pinned model/dataset metadata; keep upstream notices,EXTERNAL_ONLY,,VERIFIED_5_OF_5,约 6.35 GB；属于推理输入，不是项目训练数据；禁止提交 Git。
bg_mvp_curated_inputs,boltzgen,GLP-1 与早期 VHH 冒烟测试清理输入,curated_input,boltzgen/data/boltzgen_v0_3_2_runtime_and_mvp_inputs_20260819/curated_project_inputs,"RCSB PDB, UniProt, PubChem and BoltzGen examples",https://github.com/HannesStark/boltzgen/tree/v0.3.2/example,BoltzGen 31d9d9b9c72245b4ed6fe8742d6fbf4e1a3552a0,2026-08-19,mmCIF + YAML + JSON + TSV,20 curated files,22,624242,,workspace://boltzgen/data/boltzgen_v0_3_2_runtime_and_mvp_inputs_20260819/curation_manifest.json,mixed; see per-source manifest,MANIFEST_AND_SMALL_TABLES_ONLY,boltzgen/resources/data/GLP1_VHH推理输入_20260818,PASS_WITH_DECLARED_LIMITATIONS,7EOW/7XL0 是协议示例；GLP-1 C 端酰胺尚未完成原子级闭环验证。
bg_sabdab2_vhh_v1,boltzgen,从 SAbDab2 SD-H 快照筛选 VHH 基线骨架,scaffold_database,boltzgen/data/vhh_scaffold_database_20260819,SAbDab2-nano,https://sabdab.opig.stats.ox.ac.uk/api/download/all-sd-h-summary,API 2.0.10; snapshot updated 2026-08-06,2026-08-19,TGZ + mmCIF + SQLite + TSV + YAML + JSON,"4,508 SD-H instances; 10 PRIMARY + 2 RESERVE",171,589477757,,workspace://manifests/local_assets_20260826/tree_manifests/post/bg_vhh_scaffold_database.csv,CC BY 4.0 for SAbDab2 snapshot; derived-code terms separate,REPORT_MANIFEST_AND_SELECTED_TABLES_ONLY,boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819,12_OF_12_BOLTZGEN_CHECK_PASS,通过只表示输入合同可解析，不表示结合、亲和力、选择性或可开发性。
bg_mps_smoke,boltzgen,Apple Silicon 上的 nanobody-anything 冒烟测试,run_evidence,boltzgen/runs/nanobody_mps_smoke_20260819,Project-generated run,https://github.com/HannesStark/boltzgen/tree/v0.3.2,experimental MPS commit 592317f0f5582730b28c144267a15631c07fcb94,2026-08-19,YAML + CIF + NPZ + CSV + JSON + logs,2 candidates; 0 passed,55448,1716790833,,workspace://manifests/local_assets_20260826/tree_manifests/post/bg_nanobody_mps_smoke.csv,project-authored code; upstream components retain their licenses,CODE_SUMMARY_AND_REPORT_ONLY,boltzgen/main/mvp_mac_20260818,PIPELINE_COMPLETE_0_OF_2_PASS,实验性 MPS 分支；低预算工程验证，不能替代 Linux + NVIDIA 基线。
bg_old12_round1,boltzgen,旧 12 个 VHH 骨架对单一 GLP-1 几何的第一轮推理,run_evidence,boltzgen/runs/old12_glp1_round1_20260819,Project-generated run,https://github.com/HannesStark/boltzgen/tree/v0.3.2,BoltzGen v0.3.2 + experimental MPS branch,2026-08-19,YAML + CIF + NPZ + CSV + JSON + logs,24 candidates; 0 passed,939,40957880,,workspace://manifests/local_assets_20260826/tree_manifests/post/bg_old12_round1.csv,project-authored code; upstream components retain their licenses,CODE_SUMMARY_AND_REPORT_ONLY,boltzgen/main/round1_old12_mac_20260819,12_OF_12_TASKS_COMPLETE_0_OF_24_PASS,只有 GLP-1(7–36) 单状态正靶；不能评价型态选择性。
bg_old12_mac_enhanced,boltzgen,旧 12 骨架在 Mac 上的 diverse/adherence 分支增强筛选,run_evidence,boltzgen/runs/old12_glp1_mac_enhanced_20260820,Project-generated run,https://github.com/HannesStark/boltzgen/tree/v0.3.2,BoltzGen v0.3.2 + experimental MPS branch,2026-08-20,YAML + CIF + NPZ + CSV + JSON + JSONL + logs,48 main candidates + 4 deep-probe candidates; 0 passed,4451,104160813,,workspace://manifests/local_assets_20260826/tree_manifests/post/bg_old12_mac_enhanced.csv,project-authored code; upstream components retain their licenses,CODE_SUMMARY_AND_REPORT_ONLY,boltzgen/main/enhanced_old12_mac_20260820,24_OF_24_MAIN_TASKS_COMPLETE_0_OF_48_PASS,双 checkpoint 同进程压力尝试被安全停止；计算代理不能解释为 K_D。
bg_ai_validation_registry,boltzgen,对 112 个结构资产做来源、重复和使用边界登记,validation_registry,boltzgen/data/ai_structure_asset_validation_registry_20260826,Project-generated registry,,v1,2026-08-26T15:52:06+08:00,TSV + JSON + Markdown,112 structures,11,176573,,workspace://manifests/local_assets_20260826/tree_manifests/post/bg_ai_validation_registry.csv,mixed; inherit each source asset license,INCLUDE_SMALL_TABLES,boltzgen/resources/data/AI结构资产验证登记册_20260826,VALIDATED,登记结果不能把结构来源标签改写成结合标签。
bg_positive_conformer_ensemble,boltzgen,GLP-1 1D0R 的 20 个正靶构象规范副本,conformer_panel,shared/data/glp1_positive_conformer_ensemble_20260819,RCSB PDB 1D0R,https://www.rcsb.org/structure/1D0R,PDB 1D0R,2026-08-19,mmCIF,20 models from one NMR deposition,24,2277908,,workspace://manifests/local_assets_20260826/tree_manifests/post/shared_positive_conformers.csv,CC0-1.0 archive policy; cite structure authors,EXTERNAL_ONLY_INDEXED,,CANONICAL_SOURCE_SELECTED,单一 deposition 的模型不是 20 个独立实验样本；当前首轮暂不使用多构象。
bg_challenger_scaffolds,boltzgen,待准入的新 17 个 VHH 骨架挑战库,scaffold_challenger,shared/data/vhh_challenger_scaffolds_20260823,Project-curated challenger set,,unfrozen,2026-08-19T17:34:52+08:00,mmCIF + YAML + TSV,17 scaffolds,73,1602575,,workspace://manifests/local_assets_20260826/tree_manifests/post/shared_vhh_challenger_scaffolds.csv,mixed; per-structure provenance required,EXTERNAL_ONLY_INDEXED,,ADMISSION_PENDING,必须 canonicalize、解决 INSTANCE 冲突并逐项运行 target-containing check 后才能入场。
bc_glp1_target_panel,bindcraft,活性 GLP-1、截短体和同源肽的选择性计算面板,target_panel,bindcraft/data/glp1_selectivity_target_panel_20260825,RCSB PDB-derived peptide chains,https://www.rcsb.org/,"1D0R, 6X18, 7DTY, 6LMK, 7LLY",2026-08-25T09:33:28+08:00,PDB,8 peptide structures,8,203536,,workspace://manifests/local_assets_20260826/tree_manifests/post/bc_target_panel.csv,CC0-1.0 archive policy; cite structure authors,INCLUDE_CURATED_SMALL_INPUTS,bindcraft/resources/data/GLP1选择性靶标面板_20260825,AUDITED_NEEDS_REVISION,GIP 与 oxyntomodulin 坐标不完整；9–36 是坐标删除派生对照；不是独立实验结构。
bc_prototype_notebook,bindcraft,GLP-1 选择性 de novo miniprotein BindCraft 原型,prototype_code,bindcraft/runs/active_glp1_selectivity_prototype_20260823/BindCraft-0823.ipynb,Project-authored notebook based on BindCraft,https://github.com/martinpacesa/BindCraft,local prototype; upstream was not pinned,2026-08-23,Jupyter Notebook,12 code cells; no execution outputs,1,69356,5362ce2562d1062225d8b1d1d9abec42c69d38f6b121f70bbf107ed7ef493e47,,project-authored changes; upstream dependencies have separate terms,INCLUDE_WITH_NOT_READY_WARNING,bindcraft/main/active_glp1_selectivity_20260823/bindcraft_active_glp1_selectivity_prototype_20260823.ipynb,NOT_EXECUTED_NEEDS_REVISION,正负靶统计口径、冗余阈值、N 端接触排序和依赖固定均需修订。
