report_id,route,category,title,report_date,canonical_html_path,size_bytes,sha256,report_status,evidence_level,limitations
glp1_ai_implementation_blueprint,shared,foundation,AI创制活性GLP-1型态选择性捕获蛋白实施架构,2026-08-18,shared/reports/html/glp1_ai_implementation_blueprint_20260818.html,250664,276848f13d0cd8e7ffb168283b3cb287d539ec2d496d98a45d3185adbef9b849,concept_explainer,conceptual,"总体实施设计；不是运行或实验结果"
glp1_ai_design_knowledge_graph,shared,foundation,活性GLP-1型态选择性捕获知识图谱,2026-08-19,shared/reports/html/glp1_ai_design_knowledge_graph_20260819.html,1953627,63a180582f4f818b0bc09232174790a339668e0a2be772b68106195ed0e9310e,concept_explainer,conceptual,"知识快照；当前状态以最新合同和回执为准"
glp1_project_session_resource_overview,shared,project_index,GLP-1 AI捕获蛋白项目会话进展与资源总览,2026-08-26,shared/reports/html/glp1_project_session_resource_overview_20260826.html,427636,84cd9596d500674def77098c46a43c0ec971e668598f93ce8c7274e6fdff3b40,historical_project_snapshot,documentary,"截至2026-08-26；不包含后续AIV0/AIV1和Windows交接进展"
boltzgen_mvp_data_assets,boltzgen,data_input,BoltzGen nanobody-anything MVP数据资产样例与清理审计,2026-08-18,boltzgen/reports/html/boltzgen_mvp_data_assets_20260818.html,587036,a5c76293c87fa588a2abb28b16123e4f00d65a13b520af1422247e91ed651630,data_qc_report,computational,"公开及清理输入说明；不提供结合标签"
boltzgen_vhh_glp1_algorithm,boltzgen,foundation,BoltzGen VHH与GLP-1数据流和算法原理,2026-08-19,boltzgen/reports/html/boltzgen_vhh_glp1_algorithm_20260819.html,625912,96ad595e06eaa0671d25fd2028cd1a09166f07dff9163c138ff07ec1db3ee385,concept_explainer,conceptual,"算法说明；结构分数不是亲和力或选择性真值"
sabdab2_vhh_scaffold_screening,boltzgen,data_input,SAbDab2 VHH骨架筛选与数据库统计,2026-08-19,boltzgen/reports/html/sabdab2_vhh_scaffold_screening_20260819.html,542129,c94d98989dce5ffa36d9901ce240769259e90c14efbf364847462b95a22380fd,data_qc_report,computational,"筛选和结构QC不证明骨架结合GLP-1"
boltzgen_nanobody_mps_smoke,boltzgen,run_review,BoltzGen nanobody-anything Mac MPS冒烟运行结果与评价,2026-08-19,boltzgen/reports/html/boltzgen_nanobody_mps_smoke_20260819.html,1908795,154f3383d0b5f1c8a6a404f29ad40745d3013059bb1baa9e63ee400b08cf2ec8,historical_run_snapshot,computational,"严格过滤0/2；实验性MPS链路不等于官方CUDA复现"
boltzgen_old12_glp1_round1,boltzgen,run_review,BoltzGen旧12条VHH骨架与GLP-1第一轮技术报告,2026-08-19,boltzgen/reports/html/boltzgen_old12_glp1_round1_20260819.html,848669,1175f712708403ea8c7e0189e33157f31885fa884f8de9707df65431638f0963,historical_run_snapshot,computational,"24条完成且0/24严格通过；单一正靶状态不能评价选择性"
boltzgen_old12_glp1_mac_enhanced,boltzgen,run_review,BoltzGen旧12条VHH骨架Mac增强筛选与复盘,2026-08-20,boltzgen/reports/html/boltzgen_old12_glp1_mac_enhanced_20260820.html,883106,95df32b91147d4921cd9dc6f79d635096056e3b87af6d2d676c73823cd9fd279,historical_run_snapshot,computational,"主候选0/48且深度探针0/4严格通过；不能解释为实验无结合"
bindcraft_glp1_selectivity_input_audit,bindcraft,data_input,BindCraft与活性GLP-1输入和选择性原型审计,2026-08-26,bindcraft/reports/html/bindcraft_glp1_selectivity_input_audit_20260826.html,427619,c9bd698b4058f4ac2f1c6719912dd136320343811e4855268b10eeaaa4a5a1ca,input_audit,documentary,"Notebook未执行且输入合同需修订；无候选或运行结果"
